close,epoch,high,low,open
5713.948,1768329900.0,5713.948,5713.152,5713.192
5713.882,1768329960.0,5714.25,5713.359,5713.993
5714.118,1768330020.0,5714.169,5713.378,5714.001
5714.732,1768330080.0,5714.946,5713.943,5713.943
5714.804,1768330140.0,5715.406,5714.804,5715.049
5713.565,1768330200.0,5715.018,5713.376,5715.018
5713.557,1768330260.0,5714.011,5712.723,5713.33
5713.346,1768330320.0,5713.744,5712.826,5713.493
5712.523,1768330380.0,5713.334,5712.461,5713.334
5711.35,1768330440.0,5712.557,5711.35,5712.557
5711.196,1768330500.0,5711.522,5710.875,5711.346
5710.447,1768330560.0,5711.256,5710.132,5711.191
5709.99,1768330620.0,5710.888,5709.671,5710.306
5709.916,1768330680.0,5710.471,5709.416,5709.768
5710.925,1768330740.0,5710.925,5709.835,5709.944
5710.734,1768330800.0,5711.386,5710.197,5710.949
5709.42,1768330860.0,5710.836,5709.162,5710.73
5709.613,1768330920.0,5709.681,5709.056,5709.252
5709.546,1768330980.0,5710.148,5709.234,5709.359
5708.992,1768331040.0,5709.649,5708.24,5709.649
5708.41,1768331100.0,5709.105,5708.294,5709.052
5709.262,1768331160.0,5709.334,5708.55,5708.687
5710.183,1768331220.0,5710.183,5709.303,5709.372
5710.327,1768331280.0,5710.957,5710.007,5710.1
5711.401,1768331340.0,5711.401,5709.889,5710.404
5711.626,1768331400.0,5711.648,5710.84,5711.406
5711.631,1768331460.0,5711.646,5710.745,5711.566
5713.115,1768331520.0,5713.185,5711.659,5711.759
5713.15,1768331580.0,5713.385,5712.552,5712.966
5714.39,1768331640.0,5714.41,5713.235,5713.279
5714.124,1768331700.0,5714.663,5713.65,5714.502
5713.031,1768331760.0,5714.051,5712.594,5714.017
5711.524,1768331820.0,5712.684,5711.524,5712.64
5710.626,1768331880.0,5711.441,5710.448,5711.441
5710.387,1768331940.0,5710.695,5710.142,5710.695
5709.995,1768332000.0,5710.612,5709.548,5710.478
5709.99,1768332060.0,5710.945,5709.99,5710.281
5710.183,1768332120.0,5710.437,5709.711,5709.829
5709.034,1768332180.0,5710.229,5708.814,5710.229
5709.815,1768332240.0,5710.329,5709.206,5709.262
5710.109,1768332300.0,5710.664,5709.605,5709.975
5710.554,1768332360.0,5710.573,5709.666,5710.088
5710.683,1768332420.0,5710.689,5710.119,5710.42
5711.237,1768332480.0,5711.294,5710.378,5710.652
5711.054,1768332540.0,5711.827,5710.98,5711.488
5711.588,1768332600.0,5711.733,5710.951,5710.955
5710.588,1768332660.0,5711.54,5710.507,5711.54
5710.461,1768332720.0,5710.882,5710.22,5710.48
5710.879,1768332780.0,5711.088,5710.047,5710.405
5709.905,1768332840.0,5711.492,5709.905,5710.958
5710.24,1768332900.0,5710.442,5709.656,5709.656
5709.94,1768332960.0,5710.055,5709.41,5710.05
5709.552,1768333020.0,5710.241,5709.5,5710.086
5710.78,1768333080.0,5711.217,5709.571,5709.713
5711.04,1768333140.0,5711.04,5710.28,5710.858
5711.15,1768333200.0,5711.15,5709.974,5710.874
5711.104,1768333260.0,5711.138,5709.959,5711.065
5712.095,1768333320.0,5712.095,5710.355,5711.076
5712.758,1768333380.0,5713.141,5712.199,5712.246
5714.637,1768333440.0,5714.892,5712.549,5712.549
5715.767,1768333500.0,5715.767,5714.663,5714.663
5715.904,1768333560.0,5716.03,5715.499,5715.916
5715.271,1768333620.0,5716.096,5715.042,5715.732
5714.961,1768333680.0,5715.646,5714.757,5715.219
5715.167,1768333740.0,5715.964,5715.057,5715.152
5715.08,1768333800.0,5715.456,5714.425,5714.988
5714.399,1768333860.0,5715.068,5714.296,5714.998
5712.914,1768333920.0,5714.517,5712.674,5714.306
5711.705,1768333980.0,5712.558,5711.336,5712.558
5713.187,1768334040.0,5713.187,5712.092,5712.092
5712.061,1768334100.0,5713.427,5712.061,5713.063
5713.198,1768334160.0,5713.344,5711.882,5711.882
5713.301,1768334220.0,5713.51,5712.969,5713.204
5713.057,1768334280.0,5713.823,5712.926,5713.613
5713.214,1768334340.0,5713.396,5712.681,5713.068
5712.22,1768334400.0,5713.23,5711.544,5713.224
5711.453,1768334460.0,5712.215,5711.442,5712.215
5710.255,1768334520.0,5711.685,5710.115,5711.498
5709.678,1768334580.0,5710.2,5709.26,5710.151
5709.256,1768334640.0,5710.085,5709.173,5709.806
5708.487,1768334700.0,5709.183,5708.328,5709.183
5707.812,1768334760.0,5708.636,5707.647,5708.503
5707.169,1768334820.0,5707.854,5707.101,5707.84
5706.944,1768334880.0,5707.268,5706.675,5707.078
5707.883,1768334940.0,5708.512,5706.908,5706.908
5707.078,1768335000.0,5707.874,5706.692,5707.874
5706.655,1768335060.0,5707.301,5706.616,5707.247
5706.587,1768335120.0,5707.435,5706.5,5706.681
5707.112,1768335180.0,5707.112,5706.22,5706.542
5708.308,1768335240.0,5708.35,5707.013,5707.037
5708.328,1768335300.0,5708.743,5708.048,5708.41
5708.266,1768335360.0,5708.494,5707.659,5708.445
5707.898,1768335420.0,5708.086,5707.035,5708.05
5707.633,1768335480.0,5708.283,5707.555,5708.198
5707.666,1768335540.0,5707.765,5706.991,5707.765
5706.108,1768335600.0,5708.157,5705.864,5708.157
5705.753,1768335660.0,5706.175,5705.389,5706.175
5706.157,1768335720.0,5706.538,5705.687,5705.764
5706.111,1768335780.0,5706.12,5704.919,5706.12
5706.229,1768335840.0,5706.517,5705.797,5706.129
5705.931,1768335900.0,5706.461,5705.38,5706.461
5705.067,1768335960.0,5705.867,5705.067,5705.867
5704.356,1768336020.0,5704.948,5704.097,5704.948
5705.866,1768336080.0,5705.927,5704.206,5704.401
5705.339,1768336140.0,5705.899,5705.339,5705.637
5704.976,1768336200.0,5705.61,5704.215,5705.416
5704.905,1768336260.0,5706.06,5704.905,5705.122
